run,operator,split_domain,oracle_psnr,val_psnr,smooth_val_psnr,final_psnr,oracle_iteration,val_iteration,smooth_val_iteration,val_oracle_gap,smooth_val_oracle_gap
compressed_sensing_vector_seed1,compressed_sensing,vector,24.894553655195924,24.825689042630266,24.894553655195924,24.894553655195924,300,260,300,0.06886461256565823,0.0
deblur_fourier_seed1,deblur,fourier,23.125576453925802,23.125576453925802,23.125576453925802,23.125576453925802,300,300,300,0.0,0.0
deblur_pixel_seed1,deblur,pixel,23.372723629584627,23.207830550836274,23.239288372087813,23.372723629584627,300,270,280,0.1648930787483529,0.13343525749681362
inpainting_pixel_seed1,inpainting,pixel,24.766245480991287,24.43979996039865,24.59483674183438,24.59483674183438,280,290,300,0.32644552059263887,0.1714087391569059
superres_fourier_seed1,superres,fourier,22.359846750708684,21.606838288509593,21.653199135014717,21.653199135014717,130,290,300,0.7530084621990909,0.7066476156939672
superres_pixel_seed1,superres,pixel,21.85261035825517,21.554010581773166,21.85261035825517,19.688408955183174,110,70,110,0.2985997764820034,0.0
