iteration,train_loss,val_loss,psnr,ssim,output_change
0,0.08038734644651413,0.08490006625652313,10.838764805071309,0.11824843406188917,0.0
5,0.015061771497130394,0.018513262271881104,17.784300119854034,0.3694975264663729,0.252856582403183
10,0.011372300796210766,0.013207437470555305,19.032691483712657,0.49764341188429073,0.0896594375371933
15,0.008666260167956352,0.011119195260107517,20.026813196922767,0.518954860603945,0.05152502655982971
20,0.007506011985242367,0.010710610076785088,20.464864331662547,0.536873172560065,0.03327099233865738
25,0.006466377526521683,0.00864506047219038,21.106828567880747,0.5581223719919209,0.028753966093063354
30,0.005813275463879108,0.007595435716211796,21.5835593652325,0.582293750685983,0.023823795840144157
35,0.005326019134372473,0.007132856175303459,21.8902096485833,0.5957913405698871,0.02031596191227436
40,0.0049062371253967285,0.006613534409552813,22.211186879101223,0.6235883976838094,0.015263664536178112
45,0.004478737246245146,0.005529727321118116,22.69451033843834,0.650886015123181,0.016319360584020615
50,0.004123501945286989,0.0048912400379776955,23.061540694226913,0.6679247176455633,0.013444188982248306
55,0.003830601926892996,0.004878196399658918,23.281274181131074,0.6793641608858184,0.012606928125023842
60,0.0035666697658598423,0.004530177917331457,23.57020305604696,0.6883041447603812,0.011108567006886005
65,0.0033736007753759623,0.004285173490643501,23.807314015755562,0.6984825159797354,0.009591856971383095
70,0.0032050074078142643,0.0041537159122526646,23.948271086966603,0.7064965852147564,0.008613774552941322
75,0.0030770639423280954,0.004058086313307285,24.091871814362182,0.7171774564018001,0.006488732993602753
80,0.002944548148661852,0.003941554110497236,24.22711214133028,0.7266578797647435,0.0057973312214016914
85,0.002822679001837969,0.003916614688932896,24.3462537147342,0.733963271526024,0.004744457080960274
90,0.002705785445868969,0.003922626841813326,24.477398780251328,0.7404898789644299,0.004658564925193787
95,0.0025936479214578867,0.003857445903122425,24.61257331006353,0.7472451873252104,0.004976303316652775
100,0.002491722581908107,0.0038619344122707844,24.700175977621484,0.7527758991821945,0.004256062675267458
105,0.0023982063867151737,0.0037923192139714956,24.81979364825486,0.7573321542185459,0.0040969871915876865
110,0.0023060657549649477,0.003702235408127308,24.93700716157778,0.7633951512252852,0.003774925135076046
115,0.002212363760918379,0.003631068393588066,25.05820255898825,0.7689167555160245,0.003558308584615588
120,0.002286712871864438,0.003719969652593136,24.942484869119106,0.772963752974529,0.014297348447144032
