iteration,train_loss,val_loss,psnr,ssim,output_change
0,0.20852944254875183,0.20540881156921387,11.591513374532687,0.08311951160430908,0.0
20,0.1348666250705719,0.13775861263275146,13.453024664303086,0.15985345840454102,0.15952852368354797
40,0.1242516040802002,0.12681038677692413,13.807439779774546,0.1798543483018875,0.052817873656749725
60,0.112818144261837,0.11636137962341309,14.215783302843807,0.21285147964954376,0.05764170363545418
80,0.10410373657941818,0.1072520837187767,14.565984739820435,0.258097767829895,0.05185011029243469
100,0.08969640731811523,0.09540419280529022,15.186521484464244,0.35140252113342285,0.07461098581552505
120,0.08000290393829346,0.0863681212067604,15.666488475398763,0.419088214635849,0.062250398099422455
140,0.0762987956404686,0.0825483500957489,15.872726973430327,0.44891157746315,0.05331340432167053
160,0.06727849692106247,0.07349085062742233,16.411937173499293,0.5019958019256592,0.06417150050401688
180,0.06855015456676483,0.07501223683357239,16.32777113840522,0.4961959421634674,0.05695806071162224
200,0.07046779245138168,0.07522425055503845,16.232614456480025,0.4968660771846771,0.07441766560077667
220,0.053593579679727554,0.059460368007421494,17.374545308782658,0.6027050018310547,0.08265461772680283
240,0.05156281962990761,0.05749205872416496,17.543759362074653,0.6088453531265259,0.05272325873374939
260,0.05110832303762436,0.05760814994573593,17.56056192375809,0.6483713984489441,0.07463096082210541
280,0.04211125895380974,0.046297572553157806,18.41085598505289,0.7078649997711182,0.09178690612316132
300,0.03309273347258568,0.038402773439884186,19.409642530122206,0.7395411133766174,0.06504350155591965
320,0.028825677931308746,0.0334956981241703,19.98469088869513,0.7680581212043762,0.04496997967362404
340,0.02446039952337742,0.028781821951270103,20.694956258564815,0.794064462184906,0.037561867386102676
360,0.022544505074620247,0.0277353897690773,21.000932169965864,0.8114450573921204,0.040111690759658813
380,0.02195313200354576,0.025753039866685867,21.168209404824246,0.8160099983215332,0.04469335079193115
400,0.023354042321443558,0.027368318289518356,20.900928734239198,0.8132286667823792,0.050745926797389984
420,0.016271255910396576,0.020878300070762634,22.359027841995342,0.8508678078651428,0.046230245381593704
