iteration,train_loss,val_loss,psnr,ssim,output_change
0,0.08497937768697739,0.06666570156812668,10.838764805071309,0.11824843406188917,0.0
5,0.021573301404714584,0.017949311062693596,16.622659113456127,0.35479579885782564,0.27046653628349304
10,0.015596356242895126,0.01474430225789547,17.857890116176435,0.4134843270243486,0.09754285961389542
15,0.012568837963044643,0.012952768243849277,18.677070872807754,0.44875021864066655,0.04095739126205444
20,0.010779395699501038,0.011957007460296154,19.22827291861973,0.4579887113185222,0.0369294136762619
25,0.009885693900287151,0.011810011230409145,19.48197525979821,0.4671377253908049,0.027617933228611946
30,0.00908447615802288,0.011401568539440632,19.772005219224546,0.4786735582120778,0.018849708139896393
35,0.008135955780744553,0.01072550006210804,20.180517247427474,0.4926323205221183,0.01957179605960846
40,0.00729741808027029,0.009910683147609234,20.592742673225576,0.5119159457111919,0.016622954979538918
45,0.0066870469599962234,0.009499183855950832,20.89176509567099,0.5282066667211063,0.01546136848628521
50,0.0060861981473863125,0.009081441909074783,21.221389740279427,0.5411004376103249,0.014857367612421513
55,0.005673863925039768,0.008780930191278458,21.474587034641917,0.5502752623690085,0.013281654566526413
60,0.005324038211256266,0.00818630214780569,21.736094779663713,0.5645084375574739,0.009938392788171768
65,0.005048168823122978,0.007614936679601669,21.96516683779947,0.5823250232667493,0.008838296867907047
70,0.004791663959622383,0.007047665771096945,22.20521155094939,0.5975020344758918,0.01010696031153202
75,0.004551362711936235,0.006640870124101639,22.41764220309308,0.6090540141415396,0.008812124840915203
80,0.004312911070883274,0.006282353308051825,22.651091637383203,0.6215800440401795,0.008275420404970646
85,0.004084150306880474,0.006027660798281431,22.86845188118835,0.631288046362244,0.007346767466515303
90,0.0038660739082843065,0.005709528923034668,23.0971568366964,0.6438078112962825,0.006546901538968086
95,0.003670919220894575,0.0053144278936088085,23.328846249755983,0.6578559999959239,0.007129442412406206
100,0.0035044506657868624,0.005152459256350994,23.525400782878386,0.6685351544818658,0.006718020886182785
105,0.003336505265906453,0.005075445398688316,23.67996668330569,0.6764017400430353,0.006074023433029652
110,0.0031827741768211126,0.004926132969558239,23.845502132938314,0.6851647291648092,0.0055504171177744865
115,0.0031239939853549004,0.004904340952634811,23.9079281300323,0.6912636138990468,0.008985918015241623
120,0.0035353212151676416,0.005484218243509531,23.471129991197145,0.6826008339991126,0.02446966990828514
