iteration,train_loss,val_loss,psnr,ssim,output_change
0,0.2830131947994232,0.28527653217315674,10.244210942570916,0.14313626289367676,0.0
30,0.10146967321634293,0.10481002181768417,14.669042487642017,0.3419458568096161,0.24277271330356598
60,0.060111675411462784,0.06340664625167847,16.923769622279867,0.5339450836181641,0.11651071906089783
90,0.037899743765592575,0.03990916162729263,18.928275194531054,0.6369115114212036,0.0794217512011528
120,0.030509216710925102,0.03176813945174217,19.88246837124001,0.6855358481407166,0.06867880374193192
150,0.022344041615724564,0.023689700290560722,21.214998296135697,0.7357587218284607,0.05084652453660965
180,0.023663485422730446,0.02499605156481266,20.972767470930624,0.7477009892463684,0.056930843740701675
210,0.017662998288869858,0.01915878802537918,22.211480308950108,0.7779271006584167,0.06784136593341827
240,0.013940525241196156,0.015437236055731773,23.2191258921552,0.8009213805198669,0.039413098245859146
270,0.013989322818815708,0.015783963724970818,23.190517853871,0.8064398169517517,0.04361243173480034
300,0.011613584123551846,0.012848706915974617,24.01136403851851,0.8206647038459778,0.042006224393844604
330,0.011316807940602303,0.012880513444542885,24.096121196805704,0.8299439549446106,0.04098119959235191
360,0.010272051207721233,0.011814801953732967,24.509166294518337,0.8352647423744202,0.0365389920771122
390,0.008381962776184082,0.010044487193226814,25.352682313069938,0.8504292368888855,0.03161432221531868
420,0.009468263015151024,0.011058351024985313,24.849454135391834,0.8499355316162109,0.033390287309885025
450,0.0077836825512349606,0.009571247734129429,25.645215510619018,0.8620173931121826,0.03340834751725197
480,0.007720654364675283,0.009332847781479359,25.698872323066695,0.8607833981513977,0.02872876636683941
510,0.006882313638925552,0.008453086018562317,26.18197251891361,0.870495080947876,0.03141205012798309
540,0.006464238744229078,0.007814979180693626,26.47460052830048,0.8751360774040222,0.029558900743722916
570,0.005904047284275293,0.007522680796682835,26.809656651466412,0.8797988295555115,0.025352472439408302
600,0.006637047044932842,0.007967496290802956,26.36255076061125,0.8789801597595215,0.027308283373713493
630,0.006098540034145117,0.00756712444126606,26.699648252342676,0.8816752433776855,0.0277691800147295
660,0.006078846286982298,0.007790378760546446,26.674823320308867,0.8873539566993713,0.02957560122013092
690,0.005061834119260311,0.0066167861223220825,27.446272114264346,0.8917707800865173,0.029485583305358887
720,0.005394680425524712,0.006775050889700651,27.217237135890304,0.8899765610694885,0.023442773148417473
750,0.0053562745451927185,0.007063350640237331,27.197953936337758,0.8923326134681702,0.03200894594192505
780,0.004695599898695946,0.0063624149188399315,27.730747154088803,0.8985927104949951,0.027849556878209114
810,0.005582378711551428,0.00708887679502368,27.06295826477148,0.8921354413032532,0.03117849864065647
840,0.004166587255895138,0.005890177097171545,28.197165661590304,0.9025211334228516,0.028325581923127174
870,0.0047048237174749374,0.0064310175366699696,27.712886422948863,0.900287389755249,0.026364292949438095
900,0.004625171888619661,0.006235633511096239,27.81222493080506,0.9018629193305969,0.02783234231173992
