run,operator,split_domain,oracle_psnr,val_psnr,smooth_val_psnr,final_psnr,oracle_iteration,val_iteration,smooth_val_iteration,val_oracle_gap,smooth_val_oracle_gap
deblur_pixel_seed4,deblur,pixel,27.92000169467382,27.92000169467382,27.88385989634719,26.97061050446535,750,750,870,0.0,0.03614179832663211
inpainting_pixel_seed4,inpainting,pixel,28.197165661590304,28.197165661590304,27.81222493080506,27.81222493080506,840,840,900,0.0,0.38494073078524593
superres_pixel_seed4,superres,pixel,26.543720018621787,26.40266357920039,26.536943708258555,26.536943708258555,780,840,900,0.14105643942139778,0.006776310363232341
