iteration,train_loss,val_loss,psnr,ssim,output_change
0,0.18667975068092346,0.18480634689331055,11.591513374532687,0.08311951160430908,0.0
20,0.11285106837749481,0.11058761179447174,13.523943469146438,0.15831275284290314,0.15751513838768005
40,0.09514224529266357,0.09803790599107742,14.119799158562873,0.19964390993118286,0.07859016209840775
60,0.08188390731811523,0.089533232152462,14.629230512423081,0.2691905200481415,0.06222882866859436
80,0.07302320003509521,0.08140305429697037,15.040725440766824,0.3304068148136139,0.05106082186102867
100,0.06597818434238434,0.0756857693195343,15.397266447408079,0.38375186920166016,0.0539713092148304
120,0.05761018395423889,0.07246894389390945,15.838239900457918,0.4460013806819916,0.05608373135328293
140,0.053559403866529465,0.06840638816356659,16.09781670261799,0.4829314649105072,0.05221141129732132
160,0.05590400472283363,0.06860663741827011,15.990904266817004,0.47927436232566833,0.0716569796204567
180,0.045878246426582336,0.057026609778404236,16.703713971322664,0.5509644150733948,0.08512530475854874
200,0.03945396840572357,0.0528048537671566,17.20097498583054,0.595574676990509,0.052550964057445526
220,0.03314555063843727,0.04650798439979553,17.751148138612805,0.6291285157203674,0.06365584582090378
240,0.03349834680557251,0.044668048620224,17.7788164436022,0.632455587387085,0.04920664802193642
260,0.02803065814077854,0.04156527295708656,18.298443063573714,0.6736893653869629,0.056602124124765396
280,0.023922773078083992,0.037623874843120575,18.78672116901576,0.6993201375007629,0.052865032106637955
300,0.01946515217423439,0.03179172798991203,19.42115340961879,0.7327401041984558,0.041642121970653534
320,0.020073087885975838,0.03462399169802666,19.298551408641586,0.7293226718902588,0.03693494200706482
340,0.017638681456446648,0.033191192895174026,19.61946431082653,0.7578824162483215,0.053017210215330124
360,0.01872759871184826,0.0326211117208004,19.501767235547188,0.7444168925285339,0.044336751103401184
380,0.01168752834200859,0.025879980996251106,20.700574135827658,0.7977924942970276,0.05450988560914993
400,0.010448590852320194,0.02591993659734726,20.900898871676674,0.812401294708252,0.03724677488207817
420,0.010702108964323997,0.02390618994832039,20.99424200640977,0.821221649646759,0.03782007470726967
