run,operator,split_domain,oracle_psnr,val_psnr,smooth_val_psnr,final_psnr,oracle_iteration,val_iteration,smooth_val_iteration,val_oracle_gap,smooth_val_oracle_gap
compressed_sensing_vector_seed0,compressed_sensing,vector,25.599124916855423,25.599124916855423,25.346668270314325,25.346668270314325,110,110,120,0.0,0.25245664654109845
deblur_fourier_seed0,deblur,fourier,23.437090676806996,23.437090676806996,23.437090676806996,23.437090676806996,120,120,120,0.0,0.0
deblur_pixel_seed0,deblur,pixel,23.766522674855963,23.766522674855963,23.766522674855963,23.766522674855963,120,120,120,0.0,0.0
fourier_fourier_seed0,fourier,fourier,23.281698683388136,23.281698683388136,23.281698683388136,23.281698683388136,120,120,120,0.0,0.0
inpainting_pixel_seed0,inpainting,pixel,25.06276662742131,25.06276662742131,25.012220228303658,25.012220228303658,115,115,120,0.0,0.05054639911765335
superres_fourier_seed0,superres,fourier,23.9079281300323,23.9079281300323,23.471129991197145,23.471129991197145,115,115,120,0.0,0.4367981388351545
superres_pixel_seed0,superres,pixel,25.05820255898825,25.05820255898825,24.942484869119106,24.942484869119106,115,115,120,0.0,0.11571768986914321
