iteration,train_loss,val_loss,psnr,ssim,output_change
0,0.06343093514442444,0.08193863183259964,10.430027575214067,0.10083104975225733,0.0
10,0.009378800168633461,0.011358632706105709,17.0722321463444,0.35134963706253686,0.23519478738307953
20,0.005684666335582733,0.005975406616926193,18.70293838985566,0.43485635637616304,0.07918094843626022
30,0.0044212304055690765,0.004540872294455767,19.747548601359743,0.4844094869773724,0.038824502378702164
40,0.0038172423373907804,0.0041710021905601025,20.380491189451053,0.5219726833075647,0.027243923395872116
50,0.0034185145050287247,0.0037476373836398125,20.922621807665504,0.550808602235904,0.017989683896303177
60,0.0031953409779816866,0.0034524982329458,21.353595388568397,0.5720727788181986,0.013875795528292656
70,0.0030360936652868986,0.0033035052474588156,21.583255640957283,0.5899839484992168,0.009935755282640457
80,0.002920283004641533,0.0031766865868121386,21.768071707309655,0.6018548105327663,0.008111405186355114
90,0.002835342660546303,0.0030919485725462437,21.93170782186442,0.6137582515655683,0.006409786641597748
100,0.0027729677967727184,0.0030305234249681234,22.07901603908026,0.6223612912577842,0.0057234568521380424
110,0.002728990511968732,0.003001191420480609,22.189419088042687,0.6286217905490329,0.004658904392272234
120,0.002697475254535675,0.0029807472601532936,22.277518552072543,0.6323063891817341,0.0039410716854035854
130,0.0026736559811979532,0.00296586100012064,22.353593603250506,0.6354370828519723,0.0032576671801507473
140,0.0026547054294496775,0.0029496278148144484,22.421630089037514,0.6381223809652863,0.0027650976553559303
150,0.002639099722728133,0.002929407637566328,22.48418645947565,0.6404559284594801,0.002436217153444886
160,0.002625839551910758,0.002908719005063176,22.541055913065637,0.6432030617598792,0.00215638498775661
170,0.0026141605339944363,0.002888947958126664,22.591799898214706,0.6458932911790575,0.00199319701641798
180,0.0026039108633995056,0.0028711638879030943,22.63866477300954,0.6485681517947217,0.0018869636114686728
190,0.0025946570094674826,0.002854208927601576,22.685212154289186,0.6513158647979164,0.0018290432635694742
200,0.0025861787144094706,0.0028367755003273487,22.73146037277177,0.6539546907729913,0.0017959390534088016
210,0.002578666666522622,0.0028223395347595215,22.773321303260566,0.6563442505123127,0.0017040310194715858
220,0.0025719774421304464,0.0028095978777855635,22.812468665137526,0.6586811903235142,0.0015709847211837769
230,0.002565725240856409,0.0027968825306743383,22.854885524205958,0.661069606127955,0.0014812893932685256
240,0.002559778280556202,0.00278579187579453,22.89683801644991,0.6633207746892149,0.0014269243692979217
250,0.002553956350311637,0.002774974796921015,22.93794731254796,0.6652392654227897,0.0014602659502997994
260,0.0025482014752924442,0.00276377541013062,22.978456806454574,0.6671148769352053,0.0015150133986026049
270,0.0025425890926271677,0.002753085922449827,23.018017689956466,0.6686898154152173,0.0015486911870539188
280,0.002537122229114175,0.0027421044651418924,23.05487228122187,0.6699568696878506,0.0015748930163681507
290,0.0025318185798823833,0.002731234999373555,23.092095882535922,0.6709078379384368,0.0016089975833892822
300,0.0025267142336815596,0.0027217059396207333,23.125576453925802,0.6713598399199091,0.001638151821680367
