iteration,train_loss,val_loss,psnr,ssim,output_change
0,0.08572770655155182,0.08261778950691223,10.838764805071309,0.11824843406188917,0.0
5,0.022511031478643417,0.021920017898082733,16.803892991315557,0.3681679603071294,0.2519073188304901
10,0.01586627960205078,0.016834339126944542,18.37191009722118,0.44345531031683183,0.09371940791606903
15,0.013370041735470295,0.013155329041182995,19.15601330314872,0.4654671505319047,0.049353890120983124
20,0.01125314924865961,0.0115774255245924,19.819931385370026,0.4948085292458964,0.03938991576433182
25,0.009388255886733532,0.009789906442165375,20.57312369509713,0.5315441180312094,0.027406582608819008
30,0.008287415839731693,0.008691653609275818,21.035318682989086,0.5662831680395256,0.033277250826358795
35,0.007089992985129356,0.007202764507383108,21.81769109075502,0.5975348746089343,0.027714189141988754
40,0.006149972788989544,0.006636525504291058,22.46660770652007,0.6353327674703594,0.02472097985446453
45,0.005453369114547968,0.006068682298064232,23.014730431284246,0.6639638654242962,0.017638204619288445
50,0.004967203363776207,0.0056798565201461315,23.334645041750143,0.6900527516657875,0.021635036915540695
55,0.004657614976167679,0.005249751266092062,23.629761262300676,0.706700724766088,0.014891261234879494
60,0.004431455861777067,0.00512585649266839,23.856732736745684,0.7178460770377045,0.011463803239166737
65,0.004231252707540989,0.005057093687355518,24.0207921034775,0.7273510809684356,0.009768684394657612
70,0.004078502766788006,0.005112232640385628,24.11185191215562,0.7275046381669442,0.00791396014392376
75,0.003944825381040573,0.005160769913345575,24.15377803884855,0.7289748794009397,0.006210827734321356
80,0.0038100043311715126,0.005063693039119244,24.31515540695002,0.7353590450563283,0.005311755463480949
85,0.003683564020320773,0.004931057337671518,24.48008442511017,0.7418958412294177,0.0051552895456552505
90,0.0035619696136564016,0.004868572112172842,24.61097379207345,0.7454635900714934,0.004188818391412497
95,0.0034511294215917587,0.004798960406333208,24.712516252512827,0.7493717618946619,0.004441204015165567
100,0.0035751843824982643,0.004912654869258404,24.60029785540211,0.7547969214914989,0.016964493319392204
105,0.003988886717706919,0.005321701988577843,24.17160029401753,0.75123549663815,0.017464598640799522
110,0.0035578946117311716,0.004643668886274099,24.695268687235057,0.7636035168953196,0.03994347155094147
115,0.003258155658841133,0.004371772985905409,25.06276662742131,0.7691404049226064,0.01708710566163063
120,0.003204946406185627,0.0045368908904492855,25.012220228303658,0.7716936233678254,0.014621203765273094
