iteration,train_loss,val_loss,psnr,ssim,output_change
0,0.18843689560890198,0.1796146035194397,11.462871858827945,0.05418996140360832,0.0
10,0.10042227804660797,0.0986766368150711,13.741486274300259,0.12387391924858093,0.1945413500070572
20,0.08883357793092728,0.09189702570438385,14.132764801151357,0.1598573625087738,0.05910874530673027
30,0.0787149965763092,0.07985919713973999,14.568754119825822,0.21644484996795654,0.06288022547960281
40,0.07029277831315994,0.07488369941711426,14.928198737166401,0.2608070373535156,0.048500336706638336
50,0.06359847635030746,0.07167748361825943,15.235099682506627,0.3254545331001282,0.05793595686554909
60,0.05810946971178055,0.07437025755643845,15.48401427285022,0.3834491968154907,0.05674673244357109
70,0.04841195419430733,0.06058072671294212,16.111488330078537,0.446125864982605,0.05120338499546051
80,0.04841209948062897,0.06084183603525162,16.109787342627122,0.4554508626461029,0.04947247356176376
90,0.03852865472435951,0.052565548568964005,16.813407156010896,0.5439867973327637,0.05794168636202812
100,0.039772793650627136,0.05078214034438133,16.79228769158093,0.5482531189918518,0.056261468678712845
110,0.03156479448080063,0.04954921454191208,17.407263510826205,0.6121839880943298,0.0617891326546669
120,0.02826758846640587,0.043294183909893036,17.81743940889878,0.6416585445404053,0.04890842363238335
130,0.034896183758974075,0.04909636080265045,17.318246399656353,0.6536992192268372,0.0643506869673729
140,0.03025505319237709,0.04494188353419304,17.607046389249753,0.626326322555542,0.08091245591640472
150,0.02381383813917637,0.04244302213191986,18.26943239849428,0.6799449324607849,0.05222843587398529
160,0.020711220800876617,0.04089607670903206,18.613209147430936,0.71551513671875,0.04188251867890358
170,0.020980248227715492,0.03712930157780647,18.666297759414363,0.7044818997383118,0.04679489880800247
180,0.016695218160748482,0.038412436842918396,19.14571685052362,0.7473359107971191,0.042501240968704224
