run,operator,split_domain,oracle_psnr,val_psnr,smooth_val_psnr,final_psnr,oracle_iteration,val_iteration,smooth_val_iteration,val_oracle_gap,smooth_val_oracle_gap
deblur_pixel_seed2,deblur,pixel,17.8586034721613,17.714557505046493,17.8586034721613,17.8586034721613,220,190,220,0.14404596711480622,0.0
inpainting_pixel_seed2,inpainting,pixel,19.269733669918352,19.269733669918352,19.269733669918352,19.269733669918352,220,220,220,0.0,0.0
superres_pixel_seed2,superres,pixel,19.14571685052362,18.666297759414363,19.14571685052362,19.14571685052362,180,170,180,0.47941909110925707,0.0
