iteration,train_loss,val_loss,psnr,ssim,output_change
0,0.27552345395088196,0.2751820385456085,10.244210942570916,0.14313626289367676,0.0
30,0.09886163473129272,0.09689254313707352,14.532198246960155,0.3392581045627594,0.24150602519512177
60,0.057955093681812286,0.05766582116484642,16.701412135648244,0.5035228133201599,0.10943365097045898
90,0.04062757268548012,0.04106900095939636,18.126020050690098,0.6061913371086121,0.07352697849273682
120,0.02982136979699135,0.030194059014320374,19.374152516410767,0.6712486743927002,0.0661323145031929
150,0.022931743413209915,0.025246961042284966,20.35154097845938,0.7159860730171204,0.07149740308523178
180,0.01852933131158352,0.02025233954191208,21.217068314666232,0.7452699542045593,0.057487040758132935
210,0.016492115333676338,0.018138207495212555,21.696950983482033,0.767935574054718,0.04766354337334633
240,0.012445873580873013,0.013650618493556976,22.772765621420483,0.7964925169944763,0.05167744681239128
270,0.01059455331414938,0.011998554691672325,23.37193581244948,0.8142878413200378,0.03136160969734192
300,0.011827511712908745,0.013033052906394005,22.979200874662308,0.8081438541412354,0.04780174419283867
330,0.011539277620613575,0.012759610079228878,23.070838173509497,0.8113582134246826,0.04450416937470436
360,0.008853110484778881,0.010186542756855488,24.101862074234838,0.8378265500068665,0.05227312818169594
390,0.006533037405461073,0.007685068063437939,25.20686772753729,0.8547506332397461,0.032174479216337204
420,0.005750455893576145,0.006807882338762283,25.6870502707784,0.8642857670783997,0.023350918665528297
450,0.005868455395102501,0.006890417076647282,25.628390985070595,0.8643243908882141,0.025562237948179245
480,0.005490885116159916,0.006589571014046669,25.874703956991386,0.870152473449707,0.02709357813000679
510,0.006624826230108738,0.007763785310089588,25.20699483082604,0.8614732623100281,0.03885269910097122
540,0.0049359798431396484,0.006070338189601898,26.274377551583584,0.8780255317687988,0.033288583159446716
570,0.0049857585690915585,0.006104722153395414,26.274810668587953,0.8783758282661438,0.0307459719479084
600,0.005056561436504126,0.0060669067315757275,26.220338946948218,0.8789247870445251,0.02992933616042137
630,0.004038282670080662,0.005196662154048681,26.998753683255114,0.8878734111785889,0.025719020515680313
660,0.0041272458620369434,0.005207074340432882,26.96917312368796,0.8893818259239197,0.02217320166528225
690,0.0035095682833343744,0.004619637504220009,27.508912871753715,0.894793689250946,0.023873168975114822
720,0.00348202814348042,0.004659468773752451,27.530215967179956,0.8960902094841003,0.020869329571723938
750,0.003118092194199562,0.004256213549524546,27.92000169467382,0.9007274508476257,0.017668871209025383
780,0.003780712839215994,0.004864325746893883,27.26785554306194,0.8948401808738708,0.02146826684474945
810,0.0035106176510453224,0.0046530552208423615,27.523504067705225,0.8990182876586914,0.02602195367217064
840,0.00456935865804553,0.005859887693077326,26.593700993628367,0.893031895160675,0.037887949496507645
870,0.0032151949126273394,0.004398406483232975,27.88385989634719,0.9050427079200745,0.030476562678813934
900,0.0041379909962415695,0.005250606685876846,26.97061050446535,0.8947927951812744,0.031111791729927063
